operation,category,summary,implementation,sessionChange,validation,pending,priority,codeReferences
GET /sse,Webhooks e SSE,Server-Sent Events (SSE),Ferramenta QA apenas,Ferramenta de homologação temporária; sem consumo permanente pelo produto.,Eventos reais filtrados dos números autorizados e replay no webhook QA.,Não planejar SSE temporário como infraestrutura de produção.,P3 — fora do núcleo CRM,
POST /sender/simple,Mensagem em massa,Criar nova campanha (Simples),Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /sender/advanced,Mensagem em massa,Criar envio em massa avançado,Backend integrado (escopo parcial),"Disparos existentes corrigidos: ms→s, caption/text, info, tracking/estados.",Quick Blast real de1 destinatário; lote controlado2; nodes e guardas de Mass Send.,Mass Send representativo acima do limiar sem ampliar destinatários sem autorização.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /sender/edit,Mensagem em massa,Controlar campanha de envio em massa,Backend integrado (escopo parcial),Normalização pausa/retomada/estado e tratamento transitório.,"Pausa, retomada e remoção de pasta de teste.",Concorrência e interrupção prolongada.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /sender/cleardone,Mensagem em massa,Limpar mensagens enviadas,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
DELETE /sender/clearall,Mensagem em massa,Limpar toda fila de mensagens,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /sender/listfolders,Mensagem em massa,Listar campanhas de envio,Backend integrado (escopo parcial),Normalização de estados; desconhecido não vira falha.,Listagem real e polling controlado.,Muitas campanhas concorrentes.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /sender/listmessages,Mensagem em massa,Listar mensagens de uma campanha,Backend integrado (escopo parcial),Paginação e escopo por organização preservados/corrigidos.,Consulta real dos envios e atualização dos contadores.,Volume representativo e reconciliação prolongada.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts; supabase/functions/_shared/quick-blast/failure-sync.ts
POST /chat/block,Bloqueios,Bloqueia ou desbloqueia contato do WhatsApp,Backend integrado (escopo parcial),Adicionado provider/proxy.,R13: block200 → presença na blocklist → unblock200 → ausência confirmada; estado inicial restaurado. Outra org403.,Interface de bloqueio/desbloqueio no chat TorqueSDR.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
GET /chat/blocklist,Bloqueios,Lista contatos bloqueados,Backend integrado (escopo parcial),Adicionado provider/proxy.,R13: consulta antes/depois do bloqueio/desbloqueio real confirma transições.,Lista e gestão de bloqueados na interface.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /chat/labels,Etiquetas,Gerencia labels de um chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/delete,Chats,Deleta chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/archive,Chats,Arquivar/desarquivar chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/ephemeral,Chats,Configurar mensagens temporárias em chat privado,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/read,Chats,Marcar chat como lido/não lido,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/mute,Chats,Silenciar chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/pin,Chats,Fixar/desafixar chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/find,Chats,Busca chats com filtros,Backend integrado (escopo parcial),Paginação por totalRecords; filtro de grupos/JIDs corrigido.,Consultas reais usadas no histórico.,Muitas conversas e todas as variantes do fornecedor.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /chat/notes,Chats,Consultar notas internas do chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/notes/refresh,Chats,Recarregar notas internas do chat no WhatsApp,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/notes/edit,Chats,Editar notas internas do chat,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/editLead,CRM,Edita informações de lead,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
GET /contacts,Contatos,Retorna lista de contatos do WhatsApp,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /contacts/list,Contatos,Listar todos os contatos com paginacao,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /contact/add,Contatos,Adiciona um contato à agenda,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /contact/remove,Contatos,Remove um contato da agenda,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/details,Contatos,Obter Detalhes Completos,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /chat/check,Contatos,Verificar Números no WhatsApp,Backend integrado (escopo parcial),Verificação de número existente mantida.,Consulta real dos destinatários controlados.,Casos de número inválido/migração/LID adicionais.,P1 — concluir homologação CRM,supabase/functions/_shared/uazapi-client.ts
POST /label/edit,Etiquetas,"Criar, editar ou deletar etiqueta",Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
GET /labels,Etiquetas,Buscar todas as etiquetas,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /labels/refresh,Etiquetas,Iniciar recarga de etiquetas do WhatsApp,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /quickreply/edit,Respostas Rápidas,"Criar, atualizar ou excluir resposta rápida",Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
GET /quickreply/showall,Respostas Rápidas,Listar todas as respostas rápidas,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P2 — avaliar para CRM,
POST /call/make,Chamadas,Iniciar chamada de voz,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /call/reject,Chamadas,Rejeitar chamada recebida,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /chatwoot/config,Integração Chatwoot,Obter configuração do Chatwoot,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
PUT /chatwoot/config,Integração Chatwoot,Atualizar configuração do Chatwoot,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/get/profile,Business,Obter o perfil comercial,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
GET /business/get/categories,Business,Obter as categorias de negócios,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/update/profile,Business,Atualizar o perfil comercial,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/catalog/list,Business,Listar os produtos do catálogo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/catalog/info,Business,Obter informações de um produto do catálogo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/catalog/delete,Business,Deletar um produto do catálogo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/catalog/show,Business,Mostrar um produto do catálogo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /business/catalog/hide,Business,Ocultar um produto do catálogo,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — fora do núcleo CRM,
POST /admin/restart,Admininstração,Reiniciar a aplicação,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — administração restrita,
POST /admin/token/rotate,Admininstração,Rotacionar admin token,Não integrado,Não implementado na integração UAZAPI do produto; recurso equivalente interno não conta como integração.,Sem validação real registrada nesta sessão.,"Implementar contrato, autorização, persistência, UX quando aplicável e testes antes de habilitar.",P3 — administração restrita,
